kickoff_hkt,hours_since_kickoff,league,home,away,unsettled_markets,stages_missing_hdc,stages_missing_hil,hdc_line,hil_line,fixture
2026-08-10 01:00,539.5,女非国杯,喀麦隆女足(中),尼日利亚女足,"HDC,HIL",T-5,T-5,0.75,2.25,3057653
2026-08-10 01:00,539.5,葡超,波尔图,艾华卡,"HDC,HIL",T-5,T-5,-1.75,2.75,3023434
2026-08-10 01:00,539.5,俄超,莫斯科斯巴达,克拉斯诺达尔,"HDC,HIL",T-5,T-5,-0.5,2.5,3012257
2026-08-10 01:00,539.5,奥甲,奥地利维也纳,LASK林茨,"HDC,HIL",T-5,T-5,0.5,2.75,3010611
2026-08-10 01:15,539.25,比甲,安特卫普,华斯兰德,"HDC,HIL",T-5,T-5,-0.25,2.25,3003529
2026-08-10 01:15,539.25,挪超,克里斯蒂安松,莫尔德,"HDC,HIL",T-5,T-5,0.75,3.0,2912860
2026-08-10 01:30,539.0,俄超,喀山红宝石,奥伦堡加索维克,"HDC,HIL","T-30,T-5","T-30,T-5",-0.25,2.25,3012256
2026-08-10 02:00,538.5,乌拉甲秋,防卫者体育,漫游者,"HDC,HIL","T-30,T-5","T-30,T-5",-0.25,2.25,3057088
2026-08-10 02:00,538.5,阿甲,圣洛伦索,飓风队,"HDC,HIL","T-30,T-5","T-30,T-5",0,1.75,2962559
2026-08-10 03:00,537.5,智利甲,希金斯,利马切颜色,"HDC,HIL","T-30,T-5","T-30,T-5",-0.5,2.75,2921206
2026-08-10 03:00,537.5,巴西甲,帕尔梅拉斯,巴西国际,"HDC,HIL","T-30,T-5","T-30,T-5",-1.0,2.75,2910844
2026-08-10 03:00,537.5,巴西甲,巴伊亚,瓦斯科达伽马,"HDC,HIL","T-30,T-5","T-30,T-5",-0.5,2.5,2910837
2026-08-10 03:30,537.0,葡超,摩里伦斯,布拉加,"HDC,HIL","T-30,T-5","T-30,T-5",1.0,2.5,3023437
2026-08-10 03:30,537.0,葡超,吉维森特,里奥阿维,"HDC,HIL","T-30,T-5","T-30,T-5",-0.25,2.25,3023435
2026-08-10 03:30,537.0,葡超,本菲卡,维塞乌,"HDC,HIL","T-30,T-5","T-30,T-5",-2.5,3.5,3023431
2026-08-10 03:30,537.0,中北美杯,西雅图海湾人,克雷塔罗,"HDC,HIL","T-30,T-5","T-30,T-5",-1.0,3.0,2961742
2026-08-10 04:00,536.5,女非国杯,马拉维女足(中),加纳女足,"HDC,HIL","T-30,T-5","T-30,T-5",0.25,2.5,3057654
2026-08-10 04:45,535.75,阿甲,拉普拉塔体操,巴拉卡斯中央队,"HDC,HIL","T-30,T-5","T-30,T-5",-0.5,2.0,2962554
2026-08-10 04:45,535.75,阿甲,防卫者,纽维尔老男孩,"HDC,HIL","T-30,T-5","T-30,T-5",-0.5,2.0,2962552
2026-08-10 05:00,535.5,美冠联,印地十一,哈特福德竞技,"HDC,HIL","T-30,T-5","T-30,T-5",-0.5,2.75,2942553
2026-08-10 05:00,535.5,巴西乙,库亚巴,福塔雷萨,"HDC,HIL",T-5,"T-30,T-5",0,1.75,2940109
2026-08-10 05:30,535.0,智利甲,拉卡莱拉联,科洛科洛,"HDC,HIL","T-30,T-5","T-30,T-5",0.75,2.5,2921209
2026-08-10 05:30,535.0,巴西甲,桑托斯,巴拉纳竞技,"HDC,HIL","T-30,T-5","T-30,T-5",-0.25,2.25,2910846
2026-08-10 05:30,535.0,巴西甲,布拉干蒂诺RB,科林蒂安,"HDC,HIL","T-30,T-5","T-30,T-5",-0.25,2.0,2910839
2026-08-10 06:30,534.0,巴西甲,弗拉门戈,维多利亚,"HDC,HIL","T-30,T-5","T-30,T-5",-1.75,3.0,2910842
2026-08-10 07:15,533.25,阿甲,阿根廷青年人,竞技俱乐部,"HDC,HIL","T-30,T-5","T-30,T-5",-0.5,2.0,2962548
2026-08-10 07:30,533.0,中北美杯,费城联合,内卡萨,"HDC,HIL","T-30,T-5","T-30,T-5",-1.0,3.25,2961749
2026-08-10 07:40,532.83,中北美杯,蓝十字(中),纽约城,"HDC,HIL","T-30,T-5","T-30,T-5",-0.25,2.75,2961747
2026-08-10 08:00,532.5,中北美杯,纳什威尔SC,圣路易斯竞技,"HDC,HIL","T-30,T-5","T-30,T-5",-0.75,2.75,2961748
2026-08-10 08:00,532.5,中北美杯,芝加哥火焰,桑托斯拉古纳,"HDC,HIL","T-30,T-5","T-30,T-5",-1.0,3.5,2961745
2026-08-10 08:00,532.5,智利甲,智利大学,帕莱斯蒂诺,"HDC,HIL","T-30,T-5","T-30,T-5",-1.0,2.5,2921208
2026-08-10 09:00,531.5,中北美杯,奥斯汀FC,普埃布拉,"HDC,HIL","T-30,T-5","T-30,T-5",-1.0,3.0,2961744
2026-08-10 09:00,531.5,美女职,西雅图统治女足,天使城女足,"HDC,HIL","T-30,T-5","T-30,T-5",0,2.5,2957004
2026-08-10 10:00,530.5,中北美杯,圣地亚哥,蒂华纳,"HDC,HIL","T-30,T-5","T-30,T-5",-0.25,3.0,2961750
2026-08-10 10:15,530.25,中北美杯,墨西哥美洲(中),波特兰伐木者,"HDC,HIL",T-5,T-5,0,3.0,2961746
2026-08-10 19:00,521.5,巴拉后备,巴拉圭国民后备队,瓜拉尼后备队,"HDC,HIL","T-30,T-5","T-30,T-5",0,2.75,3061054
2026-08-10 19:30,521.0,中U21,上海海港U21,湖北青年星U21,"HDC,HIL","T-30,T-5","T-30,T-5",-2.0,3.5,3018356
2026-08-10 20:30,520.0,乌克超,普莱西亚,梅塔利斯特1925,"HDC,HIL","T-30,T-5","T-30,T-5",-0.5,2.0,3012481
2026-08-10 20:30,520.0,乌兹甲,洛钦,奇兹里克FC,"HDC,HIL","T-30,T-5","T-30,T-5",-2.25,3.5,2971053
2026-08-10 21:00,519.5,乌拉后备,蒙特维多竞技后备队,阿尔比恩后备队,"HDC,HIL","T-30,T-5","T-30,T-5",-0.5,2.5,3061047
2026-08-10 21:30,519.0,乌拉后备,乌拉圭民族后备队,漫游者后备队,"HDC,HIL","T-30,T-5","T-30,T-5",-0.5,2.75,3061069
2026-08-10 21:30,519.0,乌拉后备,尤文图德德拉后备队,德芬索后备队,"HDC,HIL","T-30,T-5","T-30,T-5",0,2.75,3061068
2026-08-10 22:00,518.5,乌拉后备,波士顿河后备队,蒙得维多后备队,"HDC,HIL","T-30,T-5","T-30,T-5",0,2.5,3061067
2026-08-10 22:00,518.5,乌兹甲,奥林匹克莫比兹,休尔坦古佐,"HDC,HIL","T-30,T-5","T-30,T-5",-0.25,2.75,2971055
2026-08-10 22:00,518.5,乌兹甲,比克波德,雅潘FK,"HDC,HIL","T-30,T-5","T-30,T-5",-1.5,3.0,2971054
2026-08-10 22:00,518.5,白俄甲,高美尔B队,FK索利戈尔斯克,"HDC,HIL","T-30,T-5","T-30,T-5",0.75,3.25,2969734
2026-08-10 22:00,518.5,挪丙,康斯文格B队,斯托姆加斯特B队,"HDC,HIL","T-30,T-5","T-30,T-5",-0.25,4.25,2968218
2026-08-10 22:30,518.0,白俄甲,明斯克B队,奥斯特罗维茨,"HDC,HIL","T-30,T-5","T-30,T-5",-0.25,3.25,2969736
2026-08-10 23:00,517.5,秘女联,梅尔加女足,伊鲁坎女足,"HDC,HIL",T-5,T-5,-1.75,4.0,3059078
2026-08-10 23:00,517.5,斯伐甲,波瓦兹斯卡,莫拉斯,"HDC,HIL","T-30,T-5","T-30,T-5",-0.5,2.75,3037869
2026-08-10 23:00,517.5,保乙,内塞伯尔,多布鲁察,"HDC,HIL","T-30,T-5","T-30,T-5",0.25,2.25,3017103
2026-08-10 23:00,517.5,乌克超,卡帕迪,LNZ切尔卡斯,"HDC,HIL","T-30,T-5","T-30,T-5",0.25,2.0,3012479
2026-08-10 23:00,517.5,白俄甲,斯莫根,波里索夫巴特B队,"HDC,HIL","T-30,T-5","T-30,T-5",-0.75,3.25,2969740
2026-08-10 23:00,517.5,白俄甲,奥尔沙,莫洛迪兹诺,"HDC,HIL","T-30,T-5","T-30,T-5",1.0,3.25,2969738
2026-08-10 23:00,517.5,白俄甲,斯洛尼姆,坎普罗姆,"HDC,HIL",T-5,T-5,0.75,3.25,2969586
2026-08-10 23:30,517.0,球会友谊,帕尼奥尼奥斯,奥林比亚高斯B队,"HDC,HIL","T-30,T-5","T-30,T-5",-0.5,2.5,3061018
2026-08-10 23:30,517.0,斯亚U19,奥林比查U19,路达U19,"HDC,HIL","T-30,T-5","T-30,T-5",-2.25,3.75,3061015
2026-08-10 23:30,517.0,斯亚U19,佩利根U19,贾德兰德卡尼U19,"HDC,HIL","T-30,T-5","T-30,T-5",-1.0,3.5,3060893
2026-08-10 23:30,517.0,芬女甲,中新地女足,科特卡女足,"HDC,HIL","T-30,T-5","T-30,T-5",-0.5,3.5,3056231
2026-08-10 23:30,517.0,罗甲,博托沙尼,胡内多阿拉,"HDC,HIL","T-30,T-5","T-30,T-5",-0.25,2.25,3010381
2026-08-10 23:45,516.75,立陶甲,维尔纽斯投资,帕纳瓦兹,"HDC,HIL","T-30,T-5","T-30,T-5",-0.75,2.75,2994876
2026-08-11 00:00,516.5,阿青联,科勒加勒斯U20,布朗安德奎U20,"HDC,HIL","T-30,T-5","T-30,T-5",-0.25,2.25,3061048
2026-08-11 00:00,516.5,斯亚U19,科佩尔U19,福兹纳U19,"HDC,HIL","T-30,T-5","T-30,T-5",-0.75,3.25,3061013
2026-08-11 00:00,516.5,立陶乙,萨尔基利斯B队,卡努扎吉里斯B队,"HDC,HIL","T-30,T-5","T-30,T-5",-0.75,2.75,3031161
2026-08-11 00:00,516.5,阿美超,艾拉斯克特,BKMA,"HDC,HIL","T-30,T-5","T-30,T-5",-1.5,2.75,3024512
2026-08-11 00:00,516.5,斯亚甲,慕拉,雷都米结,"HDC,HIL","T-30,T-5","T-30,T-5",-0.5,3.0,3005761
2026-08-11 00:00,516.5,保甲,华拉特莎,索非亚斯拉维亚,"HDC,HIL","T-30,T-5","T-30,T-5",-0.5,2.25,2998444
2026-08-11 00:00,516.5,挪丙,利恩B队,法拉姆拉维克,"HDC,HIL","T-30,T-5","T-30,T-5",-1.5,4.0,2968400
2026-08-11 00:00,516.5,挪丙,德洛巴福根,桑德菲杰B队,"HDC,HIL","T-30,T-5","T-30,T-5",-0.5,4.0,2968398
2026-08-11 00:00,516.5,挪丙,侯格辛特B队,维京B队,"HDC,HIL","T-30,T-5","T-30,T-5",-0.5,4.5,2968034
2026-08-11 00:00,516.5,挪丙,阿思可,松达尔B队,"HDC,HIL","T-30,T-5","T-30,T-5",-0.75,3.75,2967854
2026-08-11 00:00,516.5,爱沙丙,潭美卡B队,帕尔努瓦夫鲁B队,"HDC,HIL","T-30,T-5","T-30,T-5",-1.0,4.25,2954773
2026-08-11 00:00,516.5,爱沙乙,科罗拉二队,卡里鲁B队,"HDC,HIL","T-30,T-5","T-30,T-5",-1.25,4.0,2941073
2026-08-11 00:30,516.0,俄超,沃罗涅日火炬,格罗兹尼特里克,"HDC,HIL","T-30,T-5","T-30,T-5",0,2.25,3012252
2026-08-11 00:30,516.0,拉脱超,里加足球学院,格洛比纳,"HDC,HIL","T-30,T-5","T-30,T-5",-2.25,3.25,2940730
2026-08-11 01:00,515.5,葡甲,鲁席塔尼亚FC,波尔图B队,"HDC,HIL","T-30,T-5","T-30,T-5",-0.25,2.5,3023741
2026-08-11 01:00,515.5,葡甲,本菲卡B队,雷克斯欧斯,"HDC,HIL","T-30,T-5","T-30,T-5",-0.25,2.75,3023738
2026-08-11 01:00,515.5,保乙,贝尔罗,卢多戈雷茨B队,"HDC,HIL","T-30,T-5","T-30,T-5",-0.5,2.25,3017099
2026-08-11 01:00,515.5,波兰甲,斯凯尔涅维采,阿尔卡,"HDC,HIL","T-30,T-5","T-30,T-5",0.25,2.5,3004942
2026-08-11 01:00,515.5,丹麦超,锡尔克堡,欧登塞,"HDC,HIL","T-30,T-5","T-30,T-5",0.25,3.0,2998215
2026-08-11 01:00,515.5,挪丙,斯基腾,利勒斯特罗姆B队,"HDC,HIL","T-30,T-5","T-30,T-5",-0.5,4.5,2968220
2026-08-11 01:00,515.5,挪丙,阿萨纳B队,艾于斯德沃尔,"HDC,HIL","T-30,T-5","T-30,T-5",0,3.75,2967855
2026-08-11 01:00,515.5,挪丙,罗森博格B队,雷黑姆B队,"HDC,HIL","T-30,T-5","T-30,T-5",-1.5,4.5,2967671
